syn_id,pre_pt_root_id,post_pt_root_id,syn_size,pre_syn_cell_type,pre_syn_clf_type,post_syn_cell_type,post_syn_clf_type,synapse_area,pre_area,post_area,pre_post_ratio,perimeter,circularity,mean_intensity,median_intensity,std_intensity,pre_post_distance,jaccard_index,pre_overlap,post_overlap,major_axis_length,minor_axis_length
312461847,864691136618263003,864691135273177105,5920,4P,E,5P-IT,E,7045,4101,2944,1.3930027173913044,413.0609665440988,0.5188747624987227,137.21585185185185,138.0,9.610281252691301,69.22992382204079,0.0,0.0,0.0,158.98052884066334,62.90756681315867
445062520,864691136926414666,864691136672988551,1920,NGC,I,BPC,I,10824,3437,7387,0.46527683768782996,492.13203435596427,0.5616094108589896,130.496288,133.0,10.357594336682538,64.63848197187652,0.0,0.0,0.0,142.4435914532905,108.65131147319933
33886707,864691136578247700,864691135687889632,5868,5P-IT,E,4P,E,5001,2910,2091,1.3916786226685796,411.6406563273158,0.37087725047069386,129.322184,129.0,8.549919045953956,61.71097776127687,0.0,0.0,0.0,152.17155518626322,50.68823026558314
214330702,864691135991479745,864691135342081713,19880,5P-IT,E,6P-IT,E,12491,6080,6411,0.9483699890812666,527.5229073212244,0.5640588605330611,131.62625866666667,132.0,8.583724069262695,44.20120733545312,0.0,0.0,0.0,140.8227783311465,120.41319917676543
409751890,864691136618454157,864691136522574993,11100,6P-IT,E,23P,E,6638,3591,3047,1.1785362651788645,372.6761902332486,0.6005979116370036,136.50229333333334,133.0,12.119625030865036,51.735741697857094,0.0,0.0,0.0,123.46180892952287,73.85795952999618
246428955,864691136194032342,864691136594914722,4788,4P,E,6P-CT,E,9816,5994,3822,1.5682888540031397,563.2031021678297,0.38887886203248967,133.88777955555557,133.0,7.179536375828781,77.15238077608323,0.0,0.0,0.0,179.60163348491065,87.18618289567372
440603224,864691136951473887,864691136041983318,9496,6P-CT,E,6P-CT,E,9195,5427,3768,1.4402866242038217,436.5340546095176,0.6063527325515842,121.71762666666666,133.0,23.695457013495222,42.341440628537484,0.0,0.0,0.0,123.05553605483668,100.06000721591008
281264083,864691135786264772,864691135867055638,1476,6P-CT,E,6P-CT,E,11701,4752,6949,0.6838394013527126,507.26197667087547,0.5714368248049078,136.13892355555555,136.0,3.7577510346355294,75.40381103738291,0.0,0.0,0.0,172.43395926023712,94.695498345867
319335550,864691135699290658,864691135416541626,1128,4P,E,4P,E,9546,3225,6321,0.5102040816326531,633.1198410471445,0.29926742461699285,135.52040177777778,137.5,9.919962264193298,68.84649180218985,0.0,0.0,0.0,163.32956191476984,101.72271094572987
103988272,864691137197711169,864691136266685335,184,4P,E,4P,E,9261,2785,6476,0.4300494132180358,483.3919189857866,0.4980454495068405,129.000424,130.0,7.878605110480576,80.66117463220871,0.0,0.0,0.0,180.43793900481236,77.56438612497911
60624215,864691135876808531,864691136256106637,428,6P-CT,E,6P-CT,E,20910,11048,9862,1.120259582234841,601.8822509939085,0.7253386568809695,133.8399288888889,135.0,6.261336342582407,64.49219483703605,0.0,0.0,0.0,175.25485994302343,159.24840196509115
309766957,864691135472746290,864691135759554382,4464,6P-CT,E,4P,E,9908,5850,4058,1.4415968457368162,418.94826817189073,0.7093736672690718,134.6258714074074,135.0,9.31011903193495,65.00556169397215,0.0,0.0,0.0,153.76090409977868,83.42543530814427
285152020,864691136143400244,864691136274599437,4224,23P,E,MC,I,10602,6783,3819,1.7761194029850746,495.90663761154804,0.5417486295431659,131.115568,129.0,9.865923780233453,59.23192721796635,0.0,0.0,0.0,177.25528190208522,86.36493244175138
462447020,864691136137479549,864691135687849440,812,6P-IT,E,6P-CT,E,12858,3882,8976,0.4324866310160428,597.8244225113893,0.4521015327819358,129.45428266666667,131.0,9.061698769662314,77.06864201721869,0.0,0.0,0.0,172.7394584298815,119.99054472444249
119572936,864691135278649249,864691136012563619,4200,4P,E,MC,I,10569,3150,7419,0.4245855236554792,438.6761902332486,0.6901692977001711,134.41239733333333,133.0,6.884008554090623,64.75089433724482,0.0,0.0,0.0,151.919488075789,92.75131832699057
379520129,864691135278952097,864691136534664610,2216,23P,E,4P,E,2833,1860,973,1.9116135662898253,303.237590053236,0.3871598969525617,126.29452622222222,125.0,6.73553005480922,73.23118108502428,0.0,0.0,0.0,44.489320679615034,32.313710256398
420369871,864691135654994626,864691135586097020,4352,4P,E,BC,I,9028,5398,3630,1.487052341597796,604.2325394193526,0.3107371624795425,133.43114548148148,130.0,12.468585251197936,77.44726724905732,0.0,0.0,0.0,179.91803888529407,71.80262455060243
86692551,864691136362596834,864691135059271323,10980,23P,E,23P,E,4322,2011,2311,0.8701860666378192,263.1370849898476,0.7843872179352337,139.554464,142.0,11.222238644371394,34.16030481522095,0.0,0.0,0.0,91.67836510256802,61.51443573326452
244038682,864691136011791267,864691135995273898,256,23P,E,23P,E,7636,1125,6511,0.17278451850714177,393.9421715174808,0.6183164981814865,98.30136296296297,120.0,42.68489827051898,52.35784548186502,0.0,0.0,0.0,123.43325687969735,85.54999767698743
124881884,864691135594315819,864691136309662298,4716,23P,E,NGC,I,9006,2863,6143,0.46605892886211947,411.7056274847714,0.6676797428173392,130.65209244444443,131.0,6.658399298756141,66.53697307999678,0.0,0.0,0.0,151.55782355154017,82.73245149007546
242053605,864691136391316095,864691135661320688,5060,6P-CT,E,6P-IT,E,7194,4962,2232,2.2231182795698925,416.0782104868019,0.5221921653905949,122.3218151111111,122.0,8.452803738065885,38.617269156543315,0.0,0.0,0.0,114.61614490199064,85.65244290384489
488176486,864691136990853781,864691135749595433,5312,5P-IT,E,BC,I,7876,2232,5644,0.39546420978029767,400.5756851698602,0.6168028944916921,132.7843034074074,131.0,8.442262537834374,58.13222826618375,0.0,0.0,0.0,136.68814821297732,82.41852164850589
375644643,864691135463970110,864691135777148845,828,23P,E,23P,E,6196,4359,1837,2.372890582471421,460.9543648263006,0.3664421391172898,129.24620562962963,129.0,8.00643653863552,79.32654742534989,0.0,0.0,0.0,93.95102648629513,60.37619887187213
74373167,864691135816511567,864691136009217196,188,4P,E,4P,E,9283,5072,4211,1.2044644977440038,444.04877323527904,0.5916118513210411,135.0946325925926,135.0,6.12792531550599,55.88198659788155,0.0,0.0,0.0,132.30572511610907,96.13297086292616
350043417,864691135156965220,864691136286563779,2612,BC,I,5P-IT,E,12945,8385,4560,1.8388157894736843,533.4396462005391,0.5716646512956287,138.22685777777778,137.0,9.362941489000105,69.948257234674,0.0,0.0,0.0,157.51045613339153,117.08556621577135
75089271,864691136123681318,864691135539030386,2796,5P-IT,E,5P-IT,E,11850,2418,9432,0.25636132315521626,518.0782104868019,0.5548014154951546,134.66084444444445,135.0,6.026640501254245,50.79769688584367,0.0,0.0,0.0,160.9098994346671,105.16596589965314
